,,"DGIF_1
(Academic Level)","DGIF_2
(Age)","DGIF_3
(Gender)","DGIF_4
(Family Income)","DGIF_5 
(No. of Family Members)",BIF_1 (Who influence your decision in subject selection),BIF_2 (Factor influencing decision),SGIF_1 (Dependency),"IAIF_1
(Adequate support and guidance )","ESIF_2
(What Decide Future Goal)",Predicted Mood,Overall,Mood Swing Type,Swing Type,Zone Switch
12,,Under Graduate,Less than 20 Yrs. ,Female,1000000,3,Your own decision,Personal Interest,Online Resources,No,Career Preferences,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
13,,Under Graduate,Less than 20 Yrs. ,Female,100000,5,Your own decision,Career Prospects,Family Members,Yes,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
14,,Under Graduate,21-25 Yrs.,Female,200000,5,Your own decision,Personal Interest,Friends and Peers,Yes,Career Preferences,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
15,,Professional,More than 25 Yrs.,Male,300000,4,Family/Society,Parental Expectations,Academic Advisors,Not Sure,Career Preferences,Happy,Happy,Neutral,Neutral_swing,Positive_zone
16,,Under Graduate,Less than 20 Yrs. ,Female,800000,5,Your own decision,Personal Interest,Academic Advisors,Yes,Hobbies/interest areas,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
17,,Under Graduate,Less than 20 Yrs. ,Male,500000,4,Family/Society,Personal Interest,Online Resources,Yes,Financial Stability,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
18,,Under Graduate,21-25 Yrs.,Female,100000,4,Your own decision,Personal Interest,Family Members,Yes,Career Preferences,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
19,,Under Graduate,Less than 20 Yrs. ,Female,1000000,5,Your own decision,Career Prospects,Online Resources,Yes,Career Preferences,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
20,,Under Graduate,Less than 20 Yrs. ,Female,500000,6,Your own decision,Career Prospects,Academic Advisors,Not Sure,Recent Trends,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
21,,Senior Secondary,Less than 20 Yrs. ,Female,800000,5,Your own decision,Personal Interest,Family Members,Yes,Career Preferences,Relieved,Happy,Major_swing,Positive_swing,Positive_zone
22,,Under Graduate,Less than 20 Yrs. ,Male,200000,4,Your own decision,Career Prospects,Friends and Peers,Yes,Financial Stability,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
23,,Under Graduate,Less than 20 Yrs. ,Female,100000,4,Your own decision,Personal Interest,Academic Advisors,Not Sure,Hobbies/interest areas,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
24,,Under Graduate,Less than 20 Yrs. ,Female,200000,5,Family/Society,Career Prospects,Family Members,Yes,Financial Stability,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
25,,Post Graduate,21-25 Yrs.,Female,500000,5,Family/Society,Academic Performance,Family Members,Not Sure,Financial Stability,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
26,,Senior Secondary,Less than 20 Yrs. ,Female,800000,4,Your own decision,Personal Interest,Academic Advisors,Yes,Hobbies/interest areas,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
27,,Professional,21-25 Yrs.,Male,100000,4,Your own decision,Personal Interest,Online Resources,Yes,Financial Stability,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
28,,Under Graduate,Less than 20 Yrs. ,Female,300000,5,Your own decision,Career Prospects,Academic Advisors,Not Sure,Career Preferences,Happy,Happy,Neutral,Neutral_swing,Positive_zone
29,,Professional,21-25 Yrs.,Male,1000000,7,Your own decision,Career Prospects,Previous Students' Experiences,Yes,Hobbies/interest areas,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
30,,Senior Secondary,Less than 20 Yrs. ,Female,200000,4,Your own decision,Personal Interest,Online Resources,Yes,Hobbies/interest areas,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
31,,Under Graduate,Less than 20 Yrs. ,Female,500000,4,Your own decision,Career Prospects,Online Resources,No,Hobbies/interest areas,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
32,,Professional,21-25 Yrs.,Female,300000,6,Friends/Peer group,Career Prospects,Academic Advisors,Yes,Career Preferences,Happy,Happy,Neutral,Neutral_swing,Positive_zone
33,,Under Graduate,Less than 20 Yrs. ,Male,1000000,8,Your own decision,Personal Interest,Academic Advisors,Yes,Career Preferences,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
34,,Under Graduate,21-25 Yrs.,Female,500000,7,Your own decision,Personal Interest,Academic Advisors,Yes,Hobbies/interest areas,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
35,,Under Graduate,Less than 20 Yrs. ,Female,800000,4,Family/Society,Parental Expectations,Academic Advisors,Yes,Hobbies/interest areas,Relieved,Stressed,Minor_swing,Negative_swing,Negative_swing
36,,Under Graduate,Less than 20 Yrs. ,Female,300000,4,Your own decision,Career Prospects,Previous Students' Experiences,Yes,Career Preferences,Happy,Happy,Neutral,Neutral_swing,Positive_zone
37,,Under Graduate,21-25 Yrs.,Male,300000,4,Family/Society,Personal Interest,Family Members,Yes,Career Preferences,Happy,Happy,Neutral,Neutral_swing,Positive_zone
38,,Under Graduate,Less than 20 Yrs. ,Male,200000,3,Friends/Peer group,Parental Expectations,Family Members,Yes,Financial Stability,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
39,,Senior Secondary,Less than 20 Yrs. ,Male,1000000,4,Your own decision,Career Prospects,Online Resources,Yes,Career Preferences,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
40,,Post Graduate,More than 25 Yrs.,Female,200000,5,Your own decision,Personal Interest,Previous Students' Experiences,Yes,Hobbies/interest areas,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
41,,Under Graduate,Less than 20 Yrs. ,Female,500000,5,Subject Matter Expert (SME),Personal Interest,Previous Students' Experiences,Not Sure,Career Preferences,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
42,,Post Graduate,21-25 Yrs.,Male,200000,2,Subject Matter Expert (SME),Academic Performance,Family Members,Yes,Career Preferences,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
43,,Under Graduate,21-25 Yrs.,Female,500000,4,Your own decision,Personal Interest,Online Resources,No,Family Professional Goals,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
44,,Under Graduate,Less than 20 Yrs. ,Female,100000,7,Your own decision,Parental Expectations,Previous Students' Experiences,Not Sure,Financial Stability,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
45,,Under Graduate,Less than 20 Yrs. ,Female,500000,7,Your own decision,Personal Interest,Family Members,Not Sure,Hobbies/interest areas,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
46,,Under Graduate,21-25 Yrs.,Male,500000,3,Your own decision,Personal Interest,Academic Advisors,Yes,Family Professional Goals,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
47,,Under Graduate,21-25 Yrs.,Female,200000,4,Your own decision,Career Prospects,Previous Students' Experiences,Yes,Family Professional Goals,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
48,,Under Graduate,Less than 20 Yrs. ,Female,1000000,6,Teachers,Career Prospects,Family Members,Yes,Financial Stability,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
49,,Under Graduate,More than 25 Yrs.,Male,800000,3,Your own decision,Career Prospects,Friends and Peers,Yes,Financial Stability,Relieved,Stressed,Minor_swing,Negative_swing,Negative_swing
50,,Under Graduate,21-25 Yrs.,Female,500000,6,Family/Society,Academic Performance,Family Members,Not Sure,Hobbies/interest areas,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
51,,Post Graduate,21-25 Yrs.,Female,800000,6,Family/Society,Personal Interest,Family Members,Yes,Hobbies/interest areas,Relieved,Happy,Major_swing,Positive_swing,Positive_zone
52,,Under Graduate,Less than 20 Yrs. ,Female,100000,4,Your own decision,Personal Interest,Online Resources,Yes,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
53,,Under Graduate,Less than 20 Yrs. ,Female,500000,5,Your own decision,Career Prospects,Friends and Peers,Yes,Career Preferences,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
54,,Under Graduate,Less than 20 Yrs. ,Female,200000,3,Your own decision,Career Prospects,Family Members,Yes,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
55,,Under Graduate,Less than 20 Yrs. ,Male,200000,4,Family/Society,Personal Interest,Online Resources,Yes,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
56,,Under Graduate,Less than 20 Yrs. ,Female,800000,5,Family/Society,Personal Interest,Academic Advisors,Not Sure,Financial Stability,Relieved,Neutral,Minor_swing,Positive_swing,Neutral_zone
57,,Under Graduate,Less than 20 Yrs. ,Female,300000,4,Your own decision,Career Prospects,Previous Students' Experiences,Yes,Recent Trends,Happy,Happy,Neutral,Neutral_swing,Positive_zone
58,,Senior Secondary,Less than 20 Yrs. ,Female,100000,3,Your own decision,Career Prospects,Online Resources,Yes,Hobbies/interest areas,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
59,,Under Graduate,21-25 Yrs.,Female,200000,4,Your own decision,Career Prospects,Academic Advisors,Yes,Financial Stability,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
60,,Senior Secondary,Less than 20 Yrs. ,Male,800000,4,Your own decision,Personal Interest,Academic Advisors,Yes,Career Preferences,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
61,,Senior Secondary,Less than 20 Yrs. ,Female,200000,4,Your own decision,Personal Interest,Online Resources,Yes,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
62,,Under Graduate,Less than 20 Yrs. ,Male,500000,4,Your own decision,Personal Interest,Previous Students' Experiences,Yes,Career Preferences,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
63,,Under Graduate,Less than 20 Yrs. ,Male,200000,4,Your own decision,Career Prospects,Online Resources,Not Sure,Financial Stability,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
64,,Senior Secondary,Less than 20 Yrs. ,Female,800000,5,Your own decision,Career Prospects,Online Resources,Yes,Career Preferences,Relieved,Stressed,Minor_swing,Negative_swing,Negative_swing
65,,Senior Secondary,Less than 20 Yrs. ,Male,500000,5,Your own decision,Personal Interest,Online Resources,Yes,Hobbies/interest areas,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
66,,Under Graduate,Less than 20 Yrs. ,Female,200000,4,Your own decision,Career Prospects,Family Members,Yes,Financial Stability,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
67,,Post Graduate,21-25 Yrs.,Male,800000,4,Your own decision,Career Prospects,Online Resources,No,Financial Stability,Relieved,Relieved,Neutral,Neutral_swing,Negative_swing
68,,Senior Secondary,Less than 20 Yrs. ,Female,300000,3,Your own decision,Career Prospects,Online Resources,Yes,Career Preferences,Happy,Happy,Neutral,Neutral_swing,Positive_zone
69,,Senior Secondary,Less than 20 Yrs. ,Male,500000,4,Family/Society,Personal Interest,Family Members,Yes,Hobbies/interest areas,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
70,,Senior Secondary,Less than 20 Yrs. ,Female,100000,4,Your own decision,Career Prospects,Online Resources,Yes,Hobbies/interest areas,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
71,,Under Graduate,Less than 20 Yrs. ,Male,200000,4,Your own decision,Career Prospects,Academic Advisors,Yes,Recent Trends,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
72,,Senior Secondary,Less than 20 Yrs. ,Male,200000,5,Subject Matter Expert (SME),Parental Expectations,Previous Students' Experiences,Yes,Hobbies/interest areas,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
73,,Under Graduate,21-25 Yrs.,Male,200000,5,Your own decision,Academic Performance,Family Members,Yes,Hobbies/interest areas,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
74,,Under Graduate,21-25 Yrs.,Female,800000,5,Your own decision,Career Prospects,Previous Students' Experiences,Yes,Hobbies/interest areas,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
75,,Under Graduate,Less than 20 Yrs. ,Female,100000,3,Family/Society,Career Prospects,Family Members,Yes,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
76,,Post Graduate,More than 25 Yrs.,Male,300000,5,Your own decision,Career Prospects,Online Resources,Yes,Career Preferences,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
77,,Post Graduate,21-25 Yrs.,Male,200000,5,Your own decision,Career Prospects,Academic Advisors,Yes,Family Professional Goals,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
78,,Under Graduate,Less than 20 Yrs. ,Male,300000,5,Family/Society,Career Prospects,Family Members,Not Sure,Family Professional Goals,Happy,Happy,Neutral,Neutral_swing,Positive_zone
79,,Under Graduate,21-25 Yrs.,Female,800000,3,Your own decision,Personal Interest,Online Resources,Yes,Career Preferences,Relieved,Relieved,Neutral,Neutral_swing,Negative_swing
80,,Post Graduate,Less than 20 Yrs. ,Female,200000,6,Your own decision,Career prospects,Academic Advisors,Yes,Family Professional Goals,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
81,,Post Graduate,21-25 Yrs.,Male,800000,4,Family/Society,Personal Interest,Previous Students' Experiences,Yes,Financial Stability,Relieved,Stressed,Minor_swing,Negative_swing,Negative_swing
82,,Under Graduate,21-25 Yrs.,Female,800000,4,Family/Society,Career Prospects,Previous Students' Experiences,Yes,Financial Stability,Relieved,Happy,Major_swing,Positive_swing,Positive_zone
83,,Under Graduate,21-25 Yrs.,Female,1000000,7,Your own decision,Career Prospects,Family Members,Yes,Financial Stability,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
84,,Under Graduate,21-25 Yrs.,Female,800000,5,Your own decision,Personal Interest,Online Resources,Not Sure,Hobbies/interest areas,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
85,,Post Graduate,21-25 Yrs.,Female,500000,5,Your own decision,Personal Interest,Online Resources,No,Financial Stability,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
86,,Post Graduate,21-25 Yrs.,Female,500000,3,Your own decision,Career Prospects,Academic Advisors,Yes,Family Professional Goals,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
87,,Post Graduate,21-25 Yrs.,Female,800000,4,Your own decision,Personal Interest,Academic Advisors,Yes,Hobbies/interest areas,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
88,,Under Graduate,21-25 Yrs.,Male,800000,5,Your own decision,Personal Interest,Online Resources,Not Sure,Hobbies/interest areas,Relieved,Relieved,Neutral,Neutral_swing,Negative_swing
89,,Post Graduate,21-25 Yrs.,Female,200000,4,Your own decision,Personal Interest,Online Resources,Yes,Hobbies/interest areas,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
90,,Post Graduate,21-25 Yrs.,Female,1000000,4,Your own decision,Career Prospects,Academic Advisors,Yes,Career Preferences,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
91,,Professional,21-25 Yrs.,Male,500000,5,Your own decision,Career Prospects,Academic Advisors,Not Sure,Family Professional Goals,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
92,,Under Graduate,Less than 20 Yrs. ,Male,200000,5,Your own decision,Personal Interest,Online Resources,Not Sure,Recent Trends,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
93,,Under Graduate,21-25 Yrs.,Female,800000,4,Family/Society,Parental Expectations,Online Resources,Yes,Financial Stability,Relieved,Stressed,Minor_swing,Negative_swing,Negative_swing
94,,Under Graduate,Less than 20 Yrs. ,Female,500000,6,Family/Society,Career Prospects,Academic Advisors,Yes,Financial Stability,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
95,,Under Graduate,Less than 20 Yrs. ,Female,300000,4,Your own decision,Personal Interest,Previous Students' Experiences,No,Financial Stability,Happy,Happy,Neutral,Neutral_swing,Positive_zone
96,,Under Graduate,Less than 20 Yrs. ,Male,500000,3,Your own decision,Career Prospects,Family Members,Not Sure,Career Preferences,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
97,,Under Graduate,21-25 Yrs.,Male,200000,4,Family/Society,Personal Interest,Academic Advisors,Not Sure,Career Preferences,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
98,,Under Graduate,Less than 20 Yrs. ,Male,200000,4,Family/Society,Career Prospects,Online Resources,Yes,Family Professional Goals,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
99,,Under Graduate,Less than 20 Yrs. ,Female,800000,4,Family/Society,Career Prospects,Family Members,Yes,Financial Stability,Relieved,Relieved,Neutral,Neutral_swing,Negative_swing
100,,Under Graduate,Less than 20 Yrs. ,Male,200000,4,Friends/Peer group,Parental Expectations,Friends and Peers,No,Family Professional Goals,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
101,,Under Graduate,Less than 20 Yrs. ,Female,1000000,4,Subject Matter Expert (SME),Personal Interest,Online Resources,Not Sure,Career Preferences,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
102,,Under Graduate,Less than 20 Yrs. ,Male,200000,6,Your own decision,Personal Interest,Academic Advisors,Yes,Family Professional Goals,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
103,,Under Graduate,Less than 20 Yrs. ,Female,1000000,4,Your own decision,Career Prospects,Online Resources,No,Career Preferences,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
104,,Under Graduate,Less than 20 Yrs. ,Female,800000,4,Your own decision,Personal Interest,Previous Students' Experiences,Yes,Career Preferences,Relieved,Happy,Major_swing,Positive_swing,Positive_zone
105,,Under Graduate,Less than 20 Yrs. ,Male,800000,6,Your own decision,Career Prospects,Friends and Peers,Yes,Financial Stability,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
106,,Under Graduate,21-25 Yrs.,Female,500000,2,Family/Society,Parental Expectations,Family Members,Yes,Career Preferences,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
107,,Under Graduate,Less than 20 Yrs. ,Female,500000,7,Your own decision,Personal Interest,Previous Students' Experiences,Yes,Hobbies/interest areas,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
108,,Post Graduate,21-25 Yrs.,Female,1000000,4,Your own decision,Career Prospects,Previous Students' Experiences,No,Financial Stability,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
109,,Professional,21-25 Yrs.,Female,800000,5,Family/Society,Academic Performance,Academic Advisors,Yes,Financial Stability,Relieved,Stressed,Minor_swing,Negative_swing,Negative_swing
110,,Under Graduate,21-25 Yrs.,Female,800000,6,Your own decision,Personal Interest,Academic Advisors,Not Sure,Hobbies/interest areas,Relieved,Relieved,Neutral,Neutral_swing,Negative_swing
111,,Post Graduate,21-25 Yrs.,Male,800000,3,Family/Society,Personal Interest,Online Resources,Yes,Hobbies/interest areas,Relieved,Happy,Major_swing,Positive_swing,Positive_zone
112,,Post Graduate,21-25 Yrs.,Female,800000,4,Family/Society,Personal Interest,Previous Students' Experiences,Yes,Career Preferences,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
113,,Professional,21-25 Yrs.,Female,300000,7,Subject Matter Expert (SME),Career Prospects,Online Resources,Yes,Career Preferences,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
114,,Post Graduate,21-25 Yrs.,Male,500000,4,Family/Society,Personal Interest,Online Resources,Yes,Hobbies/interest areas,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
115,,Under Graduate,Less than 20 Yrs. ,Male,500000,5,Your own decision,Personal Interest,Online Resources,Yes,Financial Stability,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
116,,Post Graduate,21-25 Yrs.,Male,200000,5,Your own decision,Personal Interest,Friends and Peers,Yes,Financial Stability,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
117,,Under Graduate,21-25 Yrs.,Male,1000000,4,Teachers,Career Prospects,Academic Advisors,Yes,Career Preferences,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
118,,Under Graduate,21-25 Yrs.,Male,200000,4,Your own decision,Academic Performance,Family Members,Not Sure,Financial Stability,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
119,,Under Graduate,21-25 Yrs.,Male,800000,3,Friends/Peer group,Career Prospects,Academic Advisors,Yes,Financial Stability,Relieved,Happy,Major_swing,Positive_swing,Positive_zone
120,,Under Graduate,21-25 Yrs.,Male,100000,3,Your own decision,Career Prospects,Academic Advisors,Yes,Recent Trends,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
121,,Professional,More than 25 Yrs.,Female,300000,4,Your own decision,Personal Interest,Friends and Peers,Yes,Recent Trends,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
122,,Professional,21-25 Yrs.,Male,800000,4,Your own decision,Personal Interest,Online Resources,No,Financial Stability,Relieved,Overwhelmed,Major_swing,Positive_swing,Positive_zone
123,,Under Graduate,Less than 20 Yrs. ,Female,800000,5,Family/Society,Personal Interest,Family Members,Yes,Career Preferences,Relieved,Neutral,Minor_swing,Positive_swing,Neutral_zone
124,,Post Graduate,21-25 Yrs.,Male,200000,4,Your own decision,Personal Interest,Academic Advisors,Yes,Financial Stability,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
125,,Under Graduate,Less than 20 Yrs. ,Female,500000,5,Subject Matter Expert (SME),Personal Interest,Academic Advisors,Not Sure,Hobbies/interest areas,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
126,,Under Graduate,Less than 20 Yrs. ,Female,500000,5,Your own decision,Personal Interest,Online Resources,Yes,Career Preferences,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
127,,Under Graduate,Less than 20 Yrs. ,Female,1000000,4,Friends/Peer group,Career Prospects,Family Members,Not Sure,Financial Stability,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
128,,Under Graduate,Less than 20 Yrs. ,Female,500000,2,Your own decision,Career Prospects,Academic Advisors,Yes,Career Preferences,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
129,,Under Graduate,Less than 20 Yrs. ,Female,500000,4,Family/Society,Parental Expectations,Family Members,Not Sure,Hobbies/interest areas,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
130,,Post Graduate,More than 25 Yrs.,Male,800000,3,Family/Society,Academic Performance,Online Resources,No,Financial Stability,Relieved,Relieved,Neutral,Neutral_swing,Negative_swing
131,,Under Graduate,Less than 20 Yrs. ,Female,200000,8,Your own decision,Personal Interest,Previous Students' Experiences,Yes,Career Preferences,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
132,,Post Graduate,21-25 Yrs.,Male,1000000,4,Friends/Peer group,Personal Interest,Friends and Peers,Yes,Career Preferences,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
133,,Under Graduate,Less than 20 Yrs. ,Female,200000,4,Your own decision,Academic Performance,Academic Advisors,Yes,Career Preferences,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
134,,Under Graduate,Less than 20 Yrs. ,Female,500000,5,Family/Society,Career Prospects,Previous Students' Experiences,Yes,Hobbies/interest areas,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
135,,Senior Secondary,Less than 20 Yrs. ,Female,500000,4,Your own decision,Personal Interest,Academic Advisors,No,Financial Stability,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
136,,Under Graduate,Less than 20 Yrs. ,Female,800000,3,Your own decision,Personal Interest,Online Resources,Not Sure,Hobbies/interest areas,Relieved,Relieved,Neutral,Neutral_swing,Negative_swing
137,,Under Graduate,Less than 20 Yrs. ,Female,800000,4,Your own decision,Personal Interest,Online Resources,Yes,Career Preferences,Relieved,Stressed,Minor_swing,Negative_swing,Negative_swing
138,,Under Graduate,Less than 20 Yrs. ,Female,200000,4,Your own decision,Personal Interest,Academic Advisors,No,Recent Trends,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
139,,Post Graduate,21-25 Yrs.,Male,800000,5,Your own decision,Personal Interest,Academic Advisors,Yes,Hobbies/interest areas,Relieved,Happy,Major_swing,Positive_swing,Positive_zone
140,,Under Graduate,Less than 20 Yrs. ,Male,300000,4,Your own decision,Personal Interest,Academic Advisors,Yes,Hobbies/interest areas,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
141,,Under Graduate,21-25 Yrs.,Male,200000,4,Friends/Peer group,Career Prospects,Online Resources,Not Sure,Hobbies/interest areas,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
142,,Under Graduate,Less than 20 Yrs. ,Female,500000,3,Family/Society,Career Prospects,Family Members,Yes,Financial Stability,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
